census_tract,long,lat,Applications,One.to.Four.Unit,loan_type,mfrd,year,Hispanic,N.Hispanic,Native,Asian,Black,Pacific,White,Race_Other,Male,Female,Accepted,Denied,Action_Other,Purchase,Improvement,Purpose_Other,Lien.First,Lien.Sub,Med.Spread,Stdv.Spread,Hoepa,Med.Income,Stdv.Income,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,Stdv.Loan,Med.Loan,loan.return,app.growth
45001950100,-82.33447413,34.41191381,76,76,Conventional,17,2018,2,73,0,0,6,0,74,21,57,24,48,16,12,50,4,22,67,9,1.067,1.597018456,76,55,31.6322984,3066,20.71,48300,112,1045,1494,69.72275925,85,-6.593406593,-6.172839506
45001950200,-82.41123885,34.32680151,111,111,Conventional,23,2018,1,130,3,1,13,2,118,34,77,59,67,27,17,53,4,54,107,4,0.616,1.007469968,111,63.5,38.79719557,4085,23.77,48300,116,1045,1630,84.03023909,115,12.74509804,-11.2
45001950300,-82.58362221,34.25005148,132,132,Conventional,35,2018,0,163,0,0,9,0,156,25,92,78,76,28,28,79,7,46,126,6,0.79845,1.058152187,132,51,60.09202592,3285,7.98,48300,120,1200,2104,78.69287654,105,9.375,14.7826087
45001950400,-82.36847134,34.22124974,200,200,Conventional,7,2018,5,210,2,2,24,0,185,65,121,99,124,33,43,102,6,92,190,10,0.7195,1.016170212,200,51,51.16462499,6277,29.98,48300,101,1896,2502,63.59347964,95,-5,36.05442177
45001950500,-82.37979236,34.12604493,133,133,Conventional,23,2018,4,133,1,0,34,0,105,46,75,73,70,37,26,62,5,66,121,12,0.8395,1.490465167,133,50.5,41.38646767,5184,47.47,48300,87,1616,2497,80.64454692,85,-11.45833333,9.016393443
45001950600,-82.58839449,34.13181335,46,46,Conventional,4,2018,1,49,0,0,14,0,35,9,29,23,17,17,12,18,3,25,41,5,1,1.630810437,46,38,147.1726704,3100,50.23,48300,86,769,1437,50.84265773,55,-14.0625,-14.81481481
45003020100,-81.56011901,33.75792226,150,150,Conventional,67,2018,5,157,0,0,29,0,147,25,112,73,67,51,32,79,12,59,131,19,1.139,1.888035299,150,54.5,68.05193221,4798,34.68,62300,95,1414,2259,95.73443881,95,3.260869565,13.63636364
45003020200,-81.64897894,33.65699619,276,276,Conventional,37,2018,19,278,2,0,39,0,265,84,188,123,186,42,48,163,6,107,267,9,0.714,1.335149853,276,62,48.15193749,5459,28.87,62300,118,1806,2434,94.38420487,155,6.896551724,21.58590308
45003020301,-81.80039985,33.65535649,63,63,Conventional,18,2018,0,65,0,0,10,0,57,18,41,29,34,17,12,26,5,32,61,2,0.945,1.671022693,63,65,50.94812837,2255,13.7,62300,94,641,1033,139.6539502,105,-9.871244635,-4.545454545
45003020302,-81.75758133,33.60688455,280,280,Conventional,23,2018,12,249,1,8,57,0,204,110,147,138,190,44,46,205,8,67,269,11,0.5795,1.389786148,280,60.5,45.29053324,5754,55.75,62300,71,1336,2487,77.02600621,135,9.756097561,4.089219331
45003020400,-81.83892766,33.56963189,580,580,Conventional,13,2018,25,506,6,8,195,2,337,251,333,224,412,86,82,407,10,163,559,21,0.6645,0.937399852,580,63,35.80669923,7445,32.21,62300,89,1853,2692,66.64469294,175,1.744186047,-6.148867314
45003020500,-81.92586397,33.58222242,486,486,Conventional,13,2018,11,510,4,8,61,1,438,164,301,241,354,54,78,306,27,153,439,47,0.504,0.910192528,486,74,87.03999026,8493,23.7,62300,139,2544,3018,103.9268062,165,-5.172413793,-6.538461538
45003020601,-81.89868883,33.55802926,245,245,Conventional,1,2018,7,242,3,3,49,0,194,89,152,111,169,40,36,144,17,84,229,16,0.4537,0.852020147,245,71,44.389651,3761,29.03,62300,169,1370,1437,78.07287003,155,-3.125,3.375527426
45003020602,-81.93872692,33.53790652,257,257,Conventional,2,2018,18,227,5,1,51,0,187,90,149,105,159,49,49,147,17,93,236,21,1.004,1.11875272,257,45,27.57389798,6357,49.58,62300,73,1674,2422,36.95711937,85,0,18.43317972
45003020701,-81.96834367,33.52878978,318,317,Conventional,0,2018,17,293,4,6,40,2,264,112,173,152,225,38,55,186,19,113,291,27,0.747,0.756398652,318,59,46.22147783,5599,23.84,62300,97,1742,2329,61.11789184,115,-6.504065041,7.796610169
45003020702,-81.94876284,33.50296531,128,125,Conventional,4,2018,10,99,1,2,27,0,78,54,51,62,81,24,23,78,4,46,123,5,0.751,0.647816896,128,49,28.08816761,4686,57.15,62300,57,712,1758,83.73185548,85,11.84210526,17.43119266
45003020801,-81.99176847,33.5215804,192,192,Conventional,0,2018,5,170,2,8,13,0,160,82,98,95,141,22,29,136,8,48,173,19,0.449,0.771384593,192,68,71.86545362,2786,9.12,62300,162,966,1263,94.88176658,140,-18.36734694,3.225806452
45003020802,-81.97053463,33.49207259,242,240,Conventional,2,2018,17,254,1,6,18,1,248,67,151,128,156,35,51,149,13,80,226,16,0.5455,0.960198045,242,74,95.82765447,5324,29.04,62300,101,1215,2269,126.8426005,145,16,5.676855895
45003020901,-81.88857642,33.38357814,66,66,Conventional,9,2018,1,61,2,0,17,1,45,25,38,30,39,14,13,30,6,30,62,4,1.049,1.176758575,66,53.5,59.35839907,2626,34.12,62300,85,761,1108,73.00812612,100,-7.407407407,-26.66666667
45003020902,-81.85126379,33.46253053,282,282,Conventional,31,2018,18,267,0,5,40,1,253,118,178,134,183,52,47,150,9,123,264,18,0.514,1.144232588,282,75,139.3340995,6311,35.97,62300,82,1934,2603,148.7826348,155,0,-17.30205279
45003021001,-81.86921462,33.51009677,169,168,Conventional,29,2018,12,168,3,2,47,0,134,41,113,72,99,37,33,104,6,59,160,9,0.757,0.905953376,169,54,34.75008911,4757,30.5,62300,70,1351,2045,100.7420342,125,-11.97183099,11.18421053
45003021002,-81.91271592,33.50487869,141,139,Conventional,4,2018,10,122,0,2,30,0,100,58,80,55,93,27,21,82,3,56,129,12,0.994,1.348987383,141,52,31.34852684,5328,33.45,62300,55,1413,2378,331.9084083,105,1.941747573,-4.72972973
45003021101,-81.82907034,33.51433029,48,48,Conventional,13,2018,0,38,1,1,7,0,38,17,32,19,25,15,8,25,3,20,47,1,1.092,1.227459079,48,45,30.78291799,2968,13.14,62300,60,792,1345,33.39002272,75,5.633802817,11.62790698
45003021102,-81.80401212,33.53096733,108,108,Conventional,15,2018,3,80,2,0,11,0,73,58,48,40,64,23,21,57,3,48,104,4,0.762,1.134785375,108,50.5,23.05296346,3331,7.15,62300,87,906,1741,47.34998903,95,-15.92920354,0
45003021201,-81.76381013,33.52372821,332,332,Conventional,3,2018,12,365,5,6,56,0,317,103,208,185,218,43,71,177,19,136,294,38,0.413,0.731258733,332,71,57.64830938,5862,12.67,62300,150,1930,2390,72.23489027,165,3.125,19.42446043
45003021202,-81.74722376,33.54242967,148,148,Conventional,0,2018,2,165,1,1,7,0,162,57,86,93,100,16,32,82,13,53,136,12,0.3525,0.889484025,148,64,73.37210446,3589,10.64,62300,155,1228,1357,71.06458094,135,-6.574394464,7.246376812
45003021203,-81.72483083,33.48579332,577,576,Conventional,7,2018,31,665,4,23,43,9,622,200,379,335,433,67,77,358,20,199,533,44,0.387,0.795315887,577,85,85.54744379,8033,17.27,62300,155,3057,3984,428.1391484,185,-0.537634409,2.304964539
45003021300,-81.75300469,33.56708527,195,195,Conventional,1,2018,7,204,0,0,14,0,199,71,106,115,147,22,26,107,8,80,182,13,0.4905,0.75745157,195,66,14919.83387,4927,24.68,62300,111,1227,1953,109.3358945,115,-10.15625,2.631578947
45003021400,-81.72283733,33.5726641,138,138,Conventional,3,2018,3,123,0,3,56,0,71,59,60,74,84,32,22,69,15,54,131,7,0.8429,1.39598811,138,48.5,42.7248193,5983,80.65,62300,51,1266,2507,68.21308888,75,-1.315789474,25.45454545
45003021500,-81.70556044,33.54052781,231,229,Conventional,0,2018,6,232,3,2,9,0,220,94,133,115,166,34,31,128,16,87,207,24,0.6945,0.790628536,231,67,183.9418659,4594,27.3,62300,134,1489,2452,258.5465026,115,-9.090909091,13.23529412
45003021601,-81.65687075,33.56609155,144,144,Conventional,15,2018,4,125,1,1,32,0,96,58,79,64,82,39,23,69,7,68,130,14,0.819,1.563624358,144,45,38.38533829,6880,61.38,62300,65,1335,2226,69.33234153,75,-16.66666667,21.00840336
45003021602,-81.67814163,33.50849197,480,478,Conventional,12,2018,22,466,0,10,89,0,406,169,283,252,326,68,86,324,14,142,458,22,0.613,0.773566936,480,57,62.64912589,8469,26.39,62300,119,2374,3382,632.3280182,135,0.746268657,10.34482759
45003021700,-81.42598766,33.65102008,156,156,Conventional,42,2018,0,180,0,2,15,0,170,32,112,82,80,48,28,87,7,62,140,16,0.951,1.486879865,156,70,78.92613672,4671,38.45,62300,79,1368,2067,89.06814707,105,19.31818182,0.64516129
45003021800,-81.33077965,33.59039787,70,70,Conventional,23,2018,0,73,0,0,17,1,66,13,44,40,32,25,13,35,2,33,69,1,0.8065,1.780298339,70,42,50.79813568,2535,49.23,62300,59,778,1212,93.15540568,85,6.25,22.80701754
45003021900,-81.51810289,33.48346641,169,169,Conventional,64,2018,12,165,1,1,20,1,168,54,111,93,80,44,45,98,7,64,159,10,0.825,1.874415015,169,59,41.97663699,5740,37.42,62300,78,1769,2639,98.84861245,135,29.80769231,-6.629834254
45003022001,-81.64235355,33.45086198,250,250,Conventional,23,2018,11,265,2,2,16,0,266,101,165,142,172,38,40,159,17,74,230,20,0.29,0.74882571,250,88,86.91329511,4416,25.27,62300,113,1585,2120,138.6908903,175,-12.5,32.9787234
45003022002,-81.75066786,33.42120845,293,293,Conventional,20,2018,6,303,2,2,42,2,277,92,195,148,193,48,52,174,17,102,265,28,0.563,1.094082671,293,70,82.89747855,6882,28.07,62300,110,2195,3152,116.9951006,155,2.310231023,1.736111111
45003022100,-81.81972852,33.32265113,97,97,Conventional,24,2018,2,103,1,0,34,0,73,29,65,46,54,26,17,60,5,32,94,3,0.8091,1.639263153,97,53,52.05922613,3289,32.23,62300,91,1026,1575,117.8101485,95,10.46511628,-17.09401709
45005970200,-81.43266453,33.02882359,65,65,Conventional,29,2018,2,58,0,0,47,0,22,23,37,36,24,28,13,46,4,15,63,2,1.8835,2.423603349,65,38,47.15808879,4942,85.96,48300,75,1248,2346,39.64384713,55,-4.347826087,1.5625
45005970300,-81.21491535,33.05768141,20,20,Conventional,4,2018,0,19,0,0,5,0,18,5,15,11,10,6,4,8,2,10,19,1,0.966,1.478447384,20,41,40.68942058,995,37.59,48300,103,299,509,83.06623863,60,25,122.2222222
45005970400,-81.32815547,32.88071607,39,39,Conventional,14,2018,1,36,0,4,27,0,16,3,24,22,13,17,9,22,6,11,36,3,1.5185,1.049714366,39,37,35.08376327,3901,75.11,48300,80,592,1228,60.33755698,65,-4.411764706,-27.77777778
45007000200,-82.64508835,34.52106402,168,168,Conventional,1,2018,6,189,0,1,6,1,187,41,111,92,102,28,38,100,17,51,153,15,0.808,1.155012212,168,54,59.43839187,4424,22.08,64200,109,973,1524,59.51756312,125,0.806451613,-0.591715976
45007000300,-82.62797052,34.52886224,192,187,Conventional,0,2018,7,191,0,4,17,0,179,58,102,102,121,42,29,106,20,66,164,28,0.672,1.008235924,192,51,64.15673974,4545,31.42,64200,85,976,1510,132.0992738,125,-3.846153846,-2.040816327
45007000500,-82.60417232,34.48929093,96,96,Conventional,2,2018,2,88,0,2,47,0,39,41,46,45,57,20,19,42,11,43,86,10,1.057,0.9955446,96,40,24.83272325,3275,79.05,64200,78,688,1153,37.34955201,95,5.555555556,-14.28571429
45007000600,-82.6344398,34.49082508,52,52,Conventional,3,2018,2,47,0,0,19,0,32,19,30,24,25,18,9,24,6,22,46,6,0.9301,0.469955434,52,43.5,59.89568098,3042,78.8,64200,33,448,1617,55.80482039,65,0,6.12244898
45007000700,-82.66195147,34.49400838,58,58,Conventional,7,2018,3,57,0,1,22,0,40,17,39,27,19,28,11,35,7,16,50,8,1.422,0.946873628,58,45,48.51631779,4366,66.67,64200,31,762,2290,33.21682603,55,-19.11764706,-24.67532468
45007000800,-82.68166198,34.51584601,30,30,Conventional,2,2018,0,24,0,0,7,0,22,10,18,9,20,8,2,21,3,6,28,2,1.1875,0.986249169,30,38.5,34.35355392,2527,35.62,64200,46,427,1136,32.98205712,75,20.96774194,-9.090909091
45007000900,-82.66610129,34.52011041,121,120,Conventional,0,2018,3,108,0,0,10,0,98,47,60,52,80,18,23,78,8,35,115,6,0.9485,0.618369515,121,41,28.31853817,3219,48.84,64200,46,695,1575,279.6870053,95,-8.212560386,2.542372881
45007001000,-82.67972274,34.54047854,90,89,Conventional,1,2018,6,90,0,2,1,0,94,19,56,46,59,9,22,51,8,31,86,4,0.622,1.367777606,90,40.5,31.96781165,2649,32.73,64200,92,394,828,1116.114627,95,-2.06185567,38.46153846
45007001100,-82.65708048,34.54849674,298,296,Conventional,1,2018,10,337,1,19,26,0,301,84,200,164,185,65,48,164,21,113,262,36,0.58985,1.223063951,298,67,165.4947284,5127,18.57,64200,176,1422,1877,370.578391,145,-3.333333333,28.44827586
45007010102,-82.5121795,34.73276235,380,379,Conventional,12,2018,16,460,0,11,23,0,440,101,279,209,257,42,81,221,16,143,346,34,0.601,1.020251206,380,71,50.81484287,7249,7.93,64200,109,1838,2265,92.2765921,185,-0.804289544,7.954545455
45007010103,-82.5079519,34.78352794,639,639,Conventional,20,2018,31,722,5,36,52,3,670,200,433,350,443,90,106,391,46,202,559,80,0.5185,1.226801336,639,72,57.5845439,7682,17.56,64200,137,2434,2885,91.23543399,185,-2.374670185,17.46323529
45007010104,-82.58116664,34.72786691,550,549,Conventional,17,2018,15,648,3,12,29,0,630,154,390,312,384,82,84,315,46,189,484,66,0.56885,1.08864035,550,80,137.3622514,7647,11.14,64200,131,2428,3041,123.188797,185,-2.631578947,5.363984674
45007010200,-82.47613614,34.71695815,266,266,Conventional,23,2018,4,294,0,6,18,1,277,79,177,129,162,48,56,155,19,92,239,27,0.7517,1.259909547,266,61,101.1529831,5219,3.43,64200,97,1521,2057,981.0239265,155,13.55311355,1.526717557
45007010300,-82.49163536,34.65738557,166,166,Conventional,8,2018,8,161,4,0,2,0,166,51,99,83,104,35,27,96,17,53,148,18,1.063,1.774136451,166,48,27.69124754,4164,8.41,64200,72,1113,1732,58.39076607,95,-12.03703704,7.096774194
45007010401,-82.48326813,34.62219489,290,290,Conventional,9,2018,8,291,3,3,7,0,287,100,155,148,187,54,49,165,24,101,257,33,1.0228,1.39075287,290,46.5,72.9663611,5805,11.73,64200,87,1637,2585,70.62267584,105,12.90322581,39.42307692
45007010402,-82.50151617,34.57764714,267,267,Conventional,52,2018,1,281,6,1,11,0,275,81,178,123,160,47,60,154,14,99,244,23,0.918,1.406986811,267,56,51.60845298,6597,7.41,64200,89,1697,2701,84.62951842,115,-10.85271318,14.59227468
45007010500,-82.57573024,34.64115046,464,464,Conventional,34,2018,24,537,7,6,26,0,525,114,345,232,305,76,83,262,36,166,414,50,0.566,1.04134145,464,71,62.16919228,6357,15.62,64200,123,2034,2535,94.49843686,155,-10.66282421,8.920187793
45007010600,-82.68675736,34.65275129,396,396,Conventional,39,2018,11,456,5,5,27,1,439,94,282,206,258,68,70,208,29,159,352,44,0.641,1.442966892,396,70,69.97504525,7642,12.84,64200,90,2328,3112,131.7349607,145,0.694444444,27.33118971
45007010700,-82.7783908,34.64091458,269,268,Conventional,9,2018,7,307,0,8,21,0,282,78,167,160,194,42,33,156,22,91,239,30,0.736,1.46079031,269,59,39.26828097,5636,34.53,64200,83,1591,2896,82.68174116,115,5.504587156,19.55555556
45007010800,-82.79941967,34.56960125,283,283,Conventional,22,2018,5,352,0,5,13,1,348,58,210,162,180,47,56,129,22,132,247,36,0.6361,1.240803255,283,74,151.4609006,4882,11.45,64200,125,1898,2359,143.5150923,155,-3.125,2.536231884
45007010900,-82.88077024,34.51919172,257,257,Conventional,31,2018,7,308,1,0,1,0,313,75,188,135,176,34,47,159,20,78,232,25,0.4935,1.316775391,257,95.5,120.7902684,4598,3.78,64200,102,1555,2900,164.5519854,185,11.78247734,1.181102362
45007011001,-82.80095772,34.48265761,299,299,Conventional,20,2018,6,347,4,1,14,3,336,71,213,146,196,57,46,155,26,118,271,28,0.647,1.327854347,299,67,74.11305485,4997,11.03,64200,95,1635,2326,110.5804268,135,-10,0.673400673
45007011002,-82.73160795,34.53978389,204,203,Conventional,6,2018,6,205,1,4,23,0,189,73,120,98,146,28,30,118,11,75,185,19,0.778,1.06498354,204,60,35.32930462,4331,17.2,64200,101,1424,1806,77.75718521,135,-1.459854015,-19.36758893
45007011100,-82.70086748,34.55507725,115,115,Conventional,8,2018,1,117,0,4,19,0,106,34,62,65,82,21,12,73,10,32,101,14,0.773,0.747249247,115,52,134.8511369,2670,17.64,64200,96,669,742,106.0195857,85,-33.07086614,-10.85271318
45007011201,-82.6433394,34.58366769,334,334,Conventional,0,2018,12,420,0,8,13,0,407,69,249,195,229,55,50,176,38,120,284,50,0.488,1.141304341,334,90,80.55289944,4103,15.23,64200,167,1411,1560,110.7782038,205,-2.380952381,19.71326165
45007011202,-82.60022276,34.5584328,598,598,Conventional,3,2018,22,670,5,27,50,1,613,181,407,322,413,105,80,328,36,234,500,98,0.571,1.014326108,598,71,85.06184579,8162,18.44,64200,144,2524,2769,104.3138272,165,-5.172413793,1.700680272
45007011300,-82.54484496,34.47011382,360,360,Conventional,49,2018,7,369,2,0,67,0,320,124,222,188,199,77,84,216,20,124,330,30,0.9,1.531008993,360,53,51.30292565,7472,18.84,64200,88,1928,2832,65.42312227,125,1.62601626,48.14814815
45007011401,-82.503387,34.51425135,145,145,Conventional,1,2018,3,150,0,0,7,0,145,67,95,67,93,23,29,77,15,53,129,16,0.875,1.108693936,145,56,32.37437583,4064,22.47,64200,87,1091,1900,57.24786466,95,6.741573034,-5.844155844
45007011402,-82.43935423,34.5249641,110,110,Conventional,8,2018,2,111,0,3,20,0,96,29,64,55,71,18,21,53,6,51,106,4,1,1.487993066,110,49,27.82982852,3497,25.39,64200,64,981,1417,77.50385392,110,27.90697674,26.43678161
45007011500,-82.40923181,34.46554159,253,253,Conventional,31,2018,8,279,6,4,7,0,282,75,177,125,156,46,51,149,10,94,240,13,1.054,1.074526071,253,49.5,58.42742062,6612,13.7,64200,78,2001,2958,68.03445815,105,10.52631579,20.47619048
45007011600,-82.51287205,34.39052386,59,59,Conventional,17,2018,1,68,0,0,0,0,70,14,40,31,29,19,11,25,3,31,53,6,0.7335,1.223009533,59,60,82.38955931,2035,4.52,64200,93,733,904,87.90835247,125,23.76237624,11.32075472
45007011700,-82.67450437,34.31273627,175,174,Conventional,48,2018,1,172,3,0,10,0,175,45,114,70,98,35,42,111,7,57,166,9,1.155,1.702268435,175,41,28.42723249,5391,12.21,64200,70,1727,2661,88.37217908,85,-2.298850575,-12.93532338
45007011800,-82.62882211,34.41524782,115,115,Conventional,19,2018,4,133,1,0,13,0,127,19,82,57,65,27,23,58,5,52,110,5,1.06,1.719691682,115,44,33.46001532,3756,18.02,64200,71,1159,1599,64.06637481,95,21.79487179,-8.73015873
45007011901,-82.66281303,34.45702985,135,131,Conventional,16,2018,8,120,1,2,32,1,91,48,58,77,73,37,25,83,11,41,124,11,1.3388,1.835186432,135,36.5,19.44997647,5530,36.96,64200,63,1308,2352,169.4214458,65,18.18181818,21.62162162
45007011902,-82.61596579,34.46319996,95,95,Conventional,6,2018,6,89,1,0,30,2,59,29,52,43,46,24,25,48,8,39,85,10,0.9665,1.067515341,95,40,33.81543519,2784,41.24,64200,67,711,1188,55.05631851,85,-13.70558376,-5
45007012001,-82.71293387,34.5144984,295,295,Conventional,1,2018,8,302,2,5,58,0,247,103,184,139,205,35,55,179,11,105,273,22,0.867,1.034795784,295,55,29.99103089,4675,26.72,64200,89,1358,1837,53.34251333,145,12.40310078,2.076124567
45007012002,-82.72557737,34.48254749,229,229,Conventional,6,2018,6,231,2,6,43,0,193,68,132,111,149,52,28,134,13,82,203,26,1,0.938622856,229,50,32.79603816,4675,37.03,64200,93,1441,1907,54.86470269,125,1.214574899,7.009345794
45007012200,-82.75123388,34.39808622,221,221,Conventional,27,2018,1,245,2,2,30,0,222,65,144,110,140,38,43,128,12,81,205,16,0.79945,1.154008477,221,60.5,79.89866101,6334,18.9,64200,68,1668,2524,130.1306498,135,21.62162162,32.33532934
45007012300,-82.61721553,34.50834842,104,102,Conventional,0,2018,2,100,0,2,21,0,79,37,53,48,64,23,17,63,7,34,91,13,1.101,0.818152904,104,48,38.91176356,3475,54.5,64200,66,588,1335,753.9563993,115,0,10.63829787
45009960100,-81.1498902,33.32815446,80,80,Conventional,21,2018,1,77,2,0,36,0,51,24,45,47,42,18,20,46,2,32,79,1,0.831,1.415964259,80,47,54.4007597,5454,86.23,48300,59,1408,2711,65.3670261,80,0,19.40298507
45009960200,-80.97494555,33.23753648,117,117,Conventional,23,2018,0,118,0,1,42,0,82,31,75,52,61,30,26,63,2,52,115,2,0.8647,1.807239407,117,48,39.40566201,7137,60.94,48300,94,2088,3125,73.89235127,95,29.25170068,-8.59375
45009960300,-81.15337056,33.17223077,20,20,Conventional,7,2018,0,20,0,0,8,0,18,3,11,13,9,7,4,11,1,8,20,0,0.709,1.124391256,20,50.5,70.35135505,1320,30,48300,138,516,751,53.73179006,110,39.24050633,-31.03448276
45009960400,-81.00204588,33.11299916,20,20,Conventional,8,2018,0,24,0,0,1,0,28,1,17,10,8,6,6,14,0,6,19,1,1.595,1.954557428,20,54,28.51623114,1521,33.33,48300,97,468,821,58.47851607,95,7.954545455,-44.44444444
45011970100,-81.39631182,33.39367637,127,127,Conventional,24,2018,6,139,1,0,26,0,129,24,90,67,74,35,18,69,3,55,114,13,0.7655,1.426499167,127,53,53.83118087,5844,36.38,48300,107,1637,2507,73.29284426,85,-20.93023256,-7.971014493
45011970200,-81.27599427,33.36895688,38,38,Conventional,7,2018,0,41,0,0,21,0,23,4,25,18,25,8,5,15,5,18,35,3,0.912,1.005998072,38,52.5,47.49392609,3761,74.66,48300,87,982,1700,51.5320061,75,38.88888889,-37.70491803
45011970300,-81.37540744,33.27265389,103,102,Conventional,22,2018,2,108,0,5,43,0,63,29,57,54,66,18,19,72,5,26,101,2,0.756,0.694480798,103,67.5,9537.904299,4170,62.23,48300,75,857,1505,69.85884983,75,-3.846153846,25.6097561
45011970400,-81.27941325,33.23599799,128,128,Conventional,22,2018,4,128,0,1,7,0,141,37,90,59,69,30,29,68,8,52,121,7,1.0245,2.007095052,128,53,38.97917728,4282,23.59,48300,104,1475,2293,66.81870377,100,13.63636364,-3.03030303
45011970500,-81.38293618,33.18025417,94,94,Conventional,47,2018,6,94,1,1,36,0,79,11,66,49,39,36,19,63,3,28,88,6,2.056,2.082067026,94,49,34.10862051,4041,54.27,48300,105,1135,1740,55.50829989,75,-1.960784314,-6
45013000100,-80.72063256,32.58602476,136,136,Conventional,48,2018,8,144,0,4,61,0,105,28,100,75,54,46,36,76,9,51,130,6,0.342,2.513555651,136,67,236.7969912,4702,73.84,70600,66,1438,2210,344.3458008,165,96.42857143,-30.6122449
45013000200,-80.74672172,32.50121998,149,149,Conventional,63,2018,3,173,0,1,78,0,106,33,99,93,75,43,31,101,7,41,139,10,0.682,2.385288181,149,59.5,87.65883952,4754,59.84,70600,63,1131,2046,113.4689564,105,28.04878049,-15.81920904
45013000300,-80.78860219,32.46631104,75,75,VA-guaranteed,5,2018,12,58,0,0,9,1,62,33,37,38,52,13,10,43,4,28,70,5,0.405,1.238838433,75,57,30.91202852,5069,31.45,70600,59,230,1627,53.62532681,145,-4.605263158,-19.35483871
45013000501,-80.77044353,32.43085501,332,331,Conventional,61,2018,19,349,1,5,63,3,310,122,218,177,207,65,60,228,16,88,310,22,0.347,1.739274056,332,73,105.5972406,6195,54.14,70600,79,1337,2380,130.3189118,185,85,-26.8722467
45013000502,-80.73440446,32.41788249,389,388,VA-guaranteed,25,2018,42,380,9,11,111,3,295,129,257,189,248,62,79,282,14,93,373,16,0.246,1.005161844,389,70,57.33066225,5525,46.84,70600,81,768,1693,232.1591835,235,3.070175439,12.42774566
45013000503,-80.73547633,32.38104584,458,456,Conventional,14,2018,46,445,8,15,69,0,404,168,283,246,294,69,95,284,24,150,416,42,0.3526,0.893313167,458,72,61.09580219,5289,47.42,70600,98,1265,2045,1129.083788,185,2.209944751,-12.42829828
45013000600,-80.68871955,32.44547029,105,105,Conventional,1,2018,0,111,0,1,7,0,108,37,62,55,67,18,20,65,3,37,101,4,0.379,0.701987765,105,84,145.455324,2499,30.85,70600,74,449,1129,150.1728552,165,17.0212766,-10.25641026
45013000700,-80.68933583,32.41806326,350,349,Conventional,2,2018,16,354,0,1,16,1,364,112,208,192,247,53,50,201,32,117,312,38,0.292,1.00855806,350,72.5,163.330477,5746,37.37,70600,98,1532,2592,158.7458522,175,2.941176471,-9.560723514
45013000800,-80.69482,32.38449935,200,200,Conventional,5,2018,8,227,0,2,21,0,214,56,129,118,126,36,38,108,12,80,186,14,0.459,1.232054682,200,63,61.38996911,5310,47.72,70600,60,859,1515,80.25530869,165,10.36789298,-0.99009901
45013000901,-80.57115382,32.47806651,257,257,Conventional,13,2018,9,325,1,0,31,0,309,66,187,161,181,35,41,128,16,113,231,26,0.24,1.211430313,257,100,99.34924876,2883,31.95,70600,148,962,1260,169.3690906,275,-3.50877193,8.438818565
45013000902,-80.63481186,32.44543487,629,629,Conventional,17,2018,32,681,7,15,61,4,635,225,422,329,415,101,113,345,42,242,570,59,0.3525,0.92211964,629,74,208.7901464,8097,19.58,70600,101,2125,3330,138.1820325,195,0,-0.631911532
45013000903,-80.65561244,32.38705679,137,137,Conventional,2,2018,6,156,0,6,11,2,145,46,99,69,95,20,22,73,8,56,117,20,0.2715,0.752495149,137,122,98.08573722,1852,37.85,70600,114,459,738,175.4047029,285,-3.716216216,11.38211382
45013001101,-80.51095854,32.43011145,221,221,Conventional,31,2018,9,272,2,0,54,0,227,63,150,149,137,50,34,124,16,81,200,21,0.2555,1.067094248,221,84,138.7060113,3614,43.58,70600,111,1248,2262,143.9961635,185,-6.091370558,24.15730337
45013001102,-80.579741,32.35638407,136,136,Conventional,58,2018,6,135,0,0,75,0,71,49,72,81,57,47,32,85,5,46,128,8,0.618,2.592620196,136,54.5,203.2648603,5831,80.11,70600,66,1568,2678,184.5033226,105,36.36363636,-29.53367876
45013001200,-80.52982867,32.32428746,215,215,Conventional,1,2018,3,246,1,1,2,0,244,82,140,133,140,41,34,139,12,64,194,21,0.258,1.204374391,215,149,145.2277272,944,4.24,70600,157,474,1603,169.8010521,285,-4.362416107,11.39896373
45013002101,-80.86858698,32.11450014,67,67,Conventional,0,2018,0,87,1,0,0,0,87,12,44,45,36,22,9,32,8,27,56,11,0.2275,1.228239452,67,169.5,249.117265,599,1.34,70600,133,165,539,282.9575021,205,-42.09039548,8.064516129
45013002102,-80.90572728,32.18469421,728,728,Conventional,13,2018,48,808,1,7,43,0,801,279,496,437,520,106,102,534,38,156,672,56,0.3115,1.141546348,728,78,477.4139224,1834,24.1,70600,90,571,947,382.5115115,235,2.620087336,9.145427286
45013002103,-80.9631252,32.25266619,963,963,Conventional,9,2018,84,1083,5,15,40,1,1114,329,664,577,709,122,132,695,45,223,874,89,0.2895,0.873209587,963,97,73.91359936,3692,25.95,70600,114,1098,1554,139.3003217,265,6,6.526548673
45013002104,-80.97091576,32.28706466,891,891,Conventional,0,2018,29,1103,5,10,44,1,1090,273,577,638,619,103,169,462,106,323,779,112,0.369,1.059025073,891,65,56.55834917,12547,4.42,70600,106,5932,6960,77.94314182,165,-6.25,30.0729927
