census_tract,long,lat,Applications,One.to.Four.Unit,loan_type,mfrd,year,Hispanic,N.Hispanic,Native,Asian,Black,Pacific,White,Race_Other,Male,Female,Accepted,Denied,Action_Other,Purchase,Improvement,Purpose_Other,Lien.First,Lien.Sub,Med.Spread,Stdv.Spread,Hoepa,Med.Income,Stdv.Income,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,Stdv.Loan,Med.Loan,loan.return,app.growth
45029970401,-80.72273229,33.01074739,175,175,Conventional,87,2018,9,189,4,3,34,0,176,32,116,104,64,74,37,104,13,58,169,6,1.16,1.446854063,175,50,39.08092784,3937,31.27,48300,97,1253,2148,93.45887639,105,26.5060241,30.59701493
45029970402,-80.65448291,32.96363441,200,200,Conventional,39,2018,2,218,0,2,40,0,188,46,130,100,92,58,50,126,6,68,194,6,0.913,0.99622532,200,46.5,47.70134224,3673,31.88,48300,110,1114,1470,85.53701188,115,12.74509804,16.95906433
45029970500,-80.67181561,32.90534618,170,169,Conventional,14,2018,4,164,2,3,56,3,118,46,107,75,95,40,35,96,11,63,160,10,0.718,0.868428655,170,56.5,68.20236535,5463,56.42,48300,92,1155,2416,67.93293308,105,-4.977375566,11.84210526
45029970600,-80.60213153,32.86717384,208,207,Conventional,102,2018,3,223,4,4,95,0,156,31,137,121,80,85,43,122,12,74,203,5,1.193,1.834980763,208,48,186.7342885,7379,49.29,48300,85,1930,3084,90.60307001,85,21.42857143,-36.7781155
45029970700,-80.4818664,32.93996654,258,258,Conventional,155,2018,6,283,12,0,35,1,265,60,184,132,117,87,54,173,8,77,247,11,1.4375,1.517590844,258,55,30.86990224,5682,32.95,48300,93,2001,2746,65.29826184,105,19.31818182,-13.71237458
45029970800,-80.49993829,32.63750087,198,198,Conventional,19,2018,1,230,0,1,21,0,220,55,136,112,128,39,31,137,8,53,187,11,0.235,1.331623321,198,145,218.4844006,2253,45.89,48300,158,754,2910,196.1945624,245,4.700854701,12.5
45031010100,-79.840511,34.44151676,47,47,Conventional,25,2018,0,42,0,0,21,0,30,7,24,29,22,18,7,29,4,14,43,4,1.174,2.465162943,47,41,51.40075266,3646,72.55,53800,84,1001,1529,38.65691499,65,-5.109489051,-21.66666667
45031010200,-80.06840199,34.43211926,136,136,Conventional,16,2018,3,160,0,0,11,0,152,24,86,80,79,34,23,67,4,65,121,15,0.625,1.033555504,136,54,37.27847957,5922,14.99,53800,124,1671,2466,58.96566705,105,-19.84732824,-3.546099291
45031010300,-80.07266551,34.40774415,146,146,Conventional,13,2018,2,157,0,3,12,1,147,36,105,60,89,28,29,80,6,60,135,11,0.775,0.965484379,146,60,43.44219901,5131,29.86,53800,95,1320,2299,76.58416693,125,5.93220339,-18.43575419
45031010400,-80.17802774,34.35040447,241,241,Conventional,23,2018,3,253,2,1,35,0,226,84,159,115,153,44,44,132,14,95,225,16,0.644,1.448588714,241,66,175.3697277,5998,10.94,53800,146,1814,2665,74.35257676,135,1.503759398,4.329004329
45031010500,-80.08717172,34.3694523,107,105,Conventional,1,2018,1,107,0,0,3,0,105,44,53,56,83,9,15,76,9,22,97,10,0.672,1.39682093,107,71,101.5971296,2537,28.66,53800,132,709,1165,232.1082449,125,-2.34375,28.91566265
45031010600,-80.01898398,34.37316566,77,77,Conventional,14,2018,0,79,0,0,23,1,55,19,49,34,37,14,26,46,3,28,76,1,0.918,1.0115269,77,45,363.1846911,4825,59.13,53800,74,802,1806,59.85714367,85,28.78787879,10
